Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 01/01  01:00:00,950.261082327,96.2167197752,575.49264766,0.0,34.9616554283,113.312780494,622.512052812,608.127122342,5.66466996096,8.72026050958
 01/01  02:00:00,961.679552954,96.2167197752,586.480414917,0.0,34.9616554283,113.312780494,629.462832777,606.377586309,5.66466996096,17.4205765064
 01/01  03:00:00,965.596274667,96.2167197752,590.30418866,0.0,34.9616554283,113.312780494,632.946965862,609.862926121,5.66466996096,17.4193697795
 01/01  04:00:00,966.687333753,96.2167197752,591.395839605,0.0,34.9616554283,113.312780494,628.062621496,613.676796645,5.66466996096,8.72115489
 01/01  05:00:00,975.906750644,96.2167197752,590.591480948,0.0,44.4937663224,113.312780494,629.153165539,606.069399041,5.66466996096,17.4190965369
 01/01  06:00:00,973.6608575,96.2167197752,588.48567246,0.0,44.4937663224,113.312780494,639.212538814,607.629956905,14.1616749024,17.4209070063
 01/01  07:00:00,1045.97213694,96.2167197752,587.737602818,0.0,54.0258772165,176.889270242,576.653988546,539.61173437,28.3233498048,8.71890437112
 01/01  08:00:00,1037.62570382,96.2167197752,587.520399154,0.0,54.0258772165,184.38654557,584.450699595,524.54507111,42.4850247072,17.4206037775
 01/01  09:00:00,1116.98219942,96.2167197752,587.457730154,0.0,65.1572554096,220.04316451,565.374573928,491.228509554,56.6466996096,17.4993647647
 01/01  10:00:00,1110.7924262,96.2167197752,588.562283376,0.0,65.1572554096,212.545889182,561.341693057,492.492174706,42.4850247072,26.3644936432
 01/01  11:00:00,1122.22764577,96.2167197752,592.113123586,0.0,65.1572554096,220.04316451,583.685359636,486.395473289,70.808374512,26.4815118343
 01/01  12:00:00,1125.40467301,96.2167197752,594.15532524,0.0,65.1572554096,220.04316451,572.872480668,466.755234163,70.808374512,35.3088719932
 01/01  13:00:00,1124.18843706,96.2167197752,593.986992706,0.0,65.1572554096,220.04316451,569.925767593,472.63120472,70.808374512,26.4861883608
 01/01  14:00:00,1117.41144592,96.2167197752,594.6738357,0.0,65.1572554096,212.545889182,545.640793873,462.513147814,56.6466996096,26.4809464489
 01/01  15:00:00,1114.00881585,96.2167197752,591.682393274,0.0,65.1572554096,212.545889182,527.293453793,449.500460769,42.4850247072,35.3079683168
 01/01  16:00:00,1109.377415,96.2167197752,587.459223541,0.0,65.1572554096,212.545889182,531.184487489,448.05229614,56.6466996096,26.4854917394
 01/01  17:00:00,1082.89074309,96.2167197752,582.703956483,0.0,65.1572554096,220.04316451,576.345350131,464.894885876,84.9700494144,26.4804148403
 01/01  18:00:00,1044.12436043,96.2167197752,579.205271163,0.0,54.0258772165,184.38654557,609.678860833,498.348345342,84.9700494144,26.3604660763
 01/01  19:00:00,1012.47097693,96.2167197752,577.999259809,0.0,44.4937663224,163.454314868,638.187453795,535.796813461,84.9700494144,17.4205909197
 01/01  20:00:00,1003.75114553,96.2167197752,576.273722425,0.0,44.4937663224,155.95703954,612.376604908,538.310492746,56.6466996096,17.4194125528
 01/01  21:00:00,968.896513281,96.2167197752,572.905245577,0.0,44.4937663224,124.558693486,647.579670438,582.21178855,56.6466996096,8.72118227818
 01/01  22:00:00,967.208346568,96.2167197752,571.437226338,0.0,44.4937663224,124.558693486,645.333000779,585.428829927,42.4850247072,17.4191461447
 01/01  23:00:00,957.085559141,96.2167197752,571.363820308,0.0,34.9616554283,124.558693486,641.828930599,596.084619995,28.3233498048,17.4209607992
 01/01  24:00:00,957.146840093,96.2167197752,570.315017383,0.0,34.9616554283,124.558693486,630.695009955,607.81440626,14.1616749024,8.71892879274
 01/02  01:00:00,955.448139428,96.2167197752,569.89814819,0.0,46.0930336215,113.312780494,632.01680921,608.931293198,5.66466996096,17.4208460515
 01/02  02:00:00,955.825417057,96.2167197752,570.289050119,0.0,46.0930336215,113.312780494,630.206941522,607.12241631,5.66466996096,17.4198552517
 01/02  03:00:00,955.617142317,96.2167197752,570.163044074,0.0,46.0930336215,113.312780494,635.137040156,612.053648604,5.66466996096,17.418721591
 01/02  04:00:00,953.630998525,96.2167197752,568.229404945,0.0,46.0930336215,113.312780494,629.910362799,615.524906661,5.66466996096,8.7207861767
 01/02  05:00:00,1041.71133547,96.2167197752,566.090369287,0.0,100.150657288,148.969399434,603.489967343,580.405163173,5.66466996096,17.4201342089
 01/02  06:00:00,1041.00452511,96.2167197752,563.026996759,0.0,100.150657288,149.894399434,1164.51093377,1132.92895877,14.1616749024,17.4203001022
 01/02  07:00:00,1269.80330843,96.2167197752,557.947981378,0.0,176.471037341,302.612436532,775.632136582,738.590727796,28.3233498048,8.71805898085
 01/02  08:00:00,1377.77226254,96.2167197752,547.636438522,0.0,243.2593065,310.10971186,730.389517199,661.52695613,42.4850247072,26.3775363613
 01/02  09:00:00,1411.82758013,96.2167197752,540.952880168,0.0,243.2593065,310.10971186,718.614949266,626.618186318,56.6466996096,35.3500633382
 01/02  10:00:00,1444.53501919,96.2167197752,539.47821758,0.0,243.2593065,302.612436532,682.435456512,604.464774099,42.4850247072,35.4856577058
 01/02  11:00:00,1448.55934153,96.2167197752,540.259549896,0.0,243.2593065,310.10971186,683.85370475,577.335026501,70.808374512,35.7103037372
 01/02  12:00:00,1450.22667201,96.2167197752,542.053204001,0.0,243.2593065,310.10971186,676.245604548,560.700326392,70.808374512,44.7369036446
 01/02  13:00:00,1409.05400371,96.2213410881,541.289062398,0.0,243.2593065,310.10971186,650.320495131,543.9204708,70.808374512,35.5916498186
 01/02  14:00:00,1441.10778216,96.3097552908,539.718752402,0.0,243.2593065,302.612436532,636.050439083,534.672867229,56.6466996096,44.7308722447
 01/02  15:00:00,1443.69212536,96.4168576907,538.425605991,0.0,243.2593065,302.612436532,614.498733216,527.366831476,42.4850247072,44.6468770329
 01/02  16:00:00,1445.93566885,96.5150584927,535.583165958,0.0,243.2593065,302.612436532,613.486959627,521.202537575,56.6466996096,35.6377224423
 01/02  17:00:00,1446.74274899,96.6004488715,520.173669997,0.0,243.2593065,310.10971186,631.59462974,511.182515501,84.9700494144,35.4420648245
 01/02  18:00:00,1435.59164104,96.6807644371,491.44675399,0.0,243.2593065,310.10971186,616.686474606,514.183201723,84.9700494144,17.5332234688
 01/02  19:00:00,1122.89700538,96.2167197752,437.642297393,0.0,166.938926447,199.110933808,559.675405356,457.230659044,84.9700494144,17.474696897
