Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 01/01  01:00:00,950.2610823,96.21671978,575.4926477,0,34.96165543,113.3127805,622.5120528,608.1271223,5.664669961,8.72026051
 01/01  02:00:00,961.679553,96.21671978,586.4804149,0,34.96165543,113.3127805,629.4628328,606.3775863,5.664669961,17.42057651
 01/01  03:00:00,965.5962747,96.21671978,590.3041887,0,34.96165543,113.3127805,632.9469659,609.8629261,5.664669961,17.41936978
 01/01  04:00:00,966.6873338,96.21671978,591.3958396,0,34.96165543,113.3127805,628.0626215,613.6767966,5.664669961,8.72115489
 01/01  05:00:00,975.9067506,96.21671978,590.5914809,0,44.49376632,113.3127805,629.1531655,606.069399,5.664669961,17.41909654
 01/01  06:00:00,973.6608575,96.21671978,588.4856725,0,44.49376632,113.3127805,639.2125388,607.6299569,14.1616749,17.42090701
 01/01  07:00:00,1045.972137,96.21671978,587.7376028,0,54.02587722,176.8892702,576.6539885,539.6117344,28.3233498,8.718904371
 01/01  08:00:00,1037.625704,96.21671978,587.5203992,0,54.02587722,184.3865456,584.4506996,524.5450711,42.48502471,17.42060378
 01/01  09:00:00,1116.982199,96.21671978,587.4577302,0,65.15725541,220.0431645,565.3745739,491.2285096,56.64669961,17.49936476
 01/01  10:00:00,1110.792426,96.21671978,588.5622834,0,65.15725541,212.5458892,561.3416931,492.4921747,42.48502471,26.36449364
 01/01  11:00:00,1122.227646,96.21671978,592.1131236,0,65.15725541,220.0431645,583.6853596,486.3954733,70.80837451,26.48151183
 01/01  12:00:00,1125.404673,96.21671978,594.1553252,0,65.15725541,220.0431645,572.8724807,466.7552342,70.80837451,35.30887199
 01/01  13:00:00,1124.188437,96.21671978,593.9869927,0,65.15725541,220.0431645,569.9257676,472.6312047,70.80837451,26.48618836
 01/01  14:00:00,1117.411446,96.21671978,594.6738357,0,65.15725541,212.5458892,545.6407939,462.5131478,56.64669961,26.48094645
 01/01  15:00:00,1114.008816,96.21671978,591.6823933,0,65.15725541,212.5458892,527.2934538,449.5004608,42.48502471,35.30796832
 01/01  16:00:00,1109.377415,96.21671978,587.4592235,0,65.15725541,212.5458892,531.1844875,448.0522961,56.64669961,26.48549174
 01/01  17:00:00,1082.890743,96.21671978,582.7039565,0,65.15725541,220.0431645,576.3453501,464.8948859,84.97004941,26.48041484
 01/01  18:00:00,1044.12436,96.21671978,579.2052712,0,54.02587722,184.3865456,609.6788608,498.3483453,84.97004941,26.36046608
 01/01  19:00:00,1012.470977,96.21671978,577.9992598,0,44.49376632,163.4543149,638.1874538,535.7968135,84.97004941,17.42059092
 01/01  20:00:00,1003.751146,96.21671978,576.2737224,0,44.49376632,155.9570395,612.3766049,538.3104927,56.64669961,17.41941255
 01/01  21:00:00,968.8965133,96.21671978,572.9052456,0,44.49376632,124.5586935,647.5796704,582.2117886,56.64669961,8.721182278
 01/01  22:00:00,967.2083466,96.21671978,571.4372263,0,44.49376632,124.5586935,645.3330008,585.4288299,42.48502471,17.41914614
 01/01  23:00:00,957.0855591,96.21671978,571.3638203,0,34.96165543,124.5586935,641.8289306,596.08462,28.3233498,17.4209608
 01/01  24:00:00,957.1468401,96.21671978,570.3150174,0,34.96165543,124.5586935,630.69501,607.8144063,14.1616749,8.718928793
 01/02  01:00:00,955.4481394,96.21671978,569.8981482,0,46.09303362,113.3127805,632.0168092,608.9312932,5.664669961,17.42084605
 01/02  02:00:00,955.8254171,96.21671978,570.2890501,0,46.09303362,113.3127805,630.2069415,607.1224163,5.664669961,17.41985525
 01/02  03:00:00,955.6171423,96.21671978,570.1630441,0,46.09303362,113.3127805,635.1370402,612.0536486,5.664669961,17.41872159
 01/02  04:00:00,953.6309985,96.21671978,568.2294049,0,46.09303362,113.3127805,629.9103628,615.5249067,5.664669961,8.720786177
 01/02  05:00:00,1041.711335,96.21671978,566.0903693,0,100.1506573,148.9693994,603.4899673,580.4051632,5.664669961,17.42013421
 01/02  06:00:00,1041.004525,96.21671978,563.0269968,0,100.1506573,149.8943994,1164.510934,1132.928959,14.1616749,17.4203001
 01/02  07:00:00,1269.803308,96.21671978,557.9479814,0,176.4710373,302.6124365,775.6321366,738.5907278,28.3233498,8.718058981
 01/02  08:00:00,1377.772263,96.21671978,547.6364385,0,243.2593065,310.1097119,730.3895172,661.5269561,42.48502471,26.37753636
 01/02  09:00:00,1411.82758,96.21671978,540.9528802,0,243.2593065,310.1097119,718.6149493,626.6181863,56.64669961,35.35006334
